id,name,sex,age,height,weight,team,noc,year,city,sport,event,medal
137796,Alisa Zhambalova,F,23,NA,NA,ROC,ROC,2018,PyeongChang,Cross Country Skiing,Cross Country Skiing Women's Sprint,NA
137796,Alisa Zhambalova,F,23,NA,NA,ROC,ROC,2018,PyeongChang,Cross Country Skiing,Cross Country Skiing Women's 10 kilometres,NA
137796,Alisa Zhambalova,F,23,NA,NA,ROC,ROC,2018,PyeongChang,Cross Country Skiing,Cross Country Skiing Women's 30 kilometres,NA
137796,Alisa Zhambalova,F,23,NA,NA,ROC,ROC,2018,PyeongChang,Cross Country Skiing,Cross Country Skiing Women's 15 kilometres Skiathlon,NA
115061,Bryan Barnett,M,30,183,92,Canada,CAN,2018,PyeongChang,Bobsleigh,Bobsleigh Open Four,NA
128466,Aita Gasparin,F,23,163,53,Switzerland,SUI,2018,PyeongChang,Biathlon,Biathlon Women's 15 kilometres,NA
148573,Nadezhda Stepashkina,F,23,NA,NA,Kazakhstan,KAZ,2022,Beijing,Cross Country Skiing,Cross Country Skiing Women's Sprint,NA
148573,Nadezhda Stepashkina,F,23,NA,NA,Kazakhstan,KAZ,2022,Beijing,Cross Country Skiing,Cross Country Skiing Women's 10 kilometres,NA
148573,Nadezhda Stepashkina,F,23,NA,NA,Kazakhstan,KAZ,2022,Beijing,Cross Country Skiing,Cross Country Skiing Women's 30 kilometres,NA
148573,Nadezhda Stepashkina,F,23,NA,NA,Kazakhstan,KAZ,2022,Beijing,Cross Country Skiing,Cross Country Skiing Women's 15 kilometres Skiathlon,NA
148573,Nadezhda Stepashkina,F,23,NA,NA,Kazakhstan,KAZ,2022,Beijing,Cross Country Skiing,Cross Country Skiing Women's 4 × 5 kilometres Relay,NA
148573,Nadezhda Stepashkina,F,23,NA,NA,Kazakhstan,KAZ,2022,Beijing,Cross Country Skiing,Cross Country Skiing Women's Team Sprint,NA
148892,Lovro Kos,M,22,NA,NA,Slovenia,SLO,2022,Beijing,Ski Jumping,"Ski Jumping Men's Normal Hill, Individual",NA
148892,Lovro Kos,M,22,NA,NA,Slovenia,SLO,2022,Beijing,Ski Jumping,"Ski Jumping Men's Large Hill, Individual",NA
148892,Lovro Kos,M,22,NA,NA,Slovenia,SLO,2022,Beijing,Ski Jumping,"Ski Jumping Men's Large Hill, Team",Silver
137724,Johannes Høsflot Klæbo,M,21,183,NA,Norway,NOR,2018,PyeongChang,Cross Country Skiing,Cross Country Skiing Men's Sprint,Gold
137724,Johannes Høsflot Klæbo,M,21,183,NA,Norway,NOR,2018,PyeongChang,Cross Country Skiing,Cross Country Skiing Men's 30 kilometres Skiathlon,NA
137724,Johannes Høsflot Klæbo,M,21,183,NA,Norway,NOR,2018,PyeongChang,Cross Country Skiing,Cross Country Skiing Men's 4 × 10 kilometres Relay,Gold
137724,Johannes Høsflot Klæbo,M,21,183,NA,Norway,NOR,2018,PyeongChang,Cross Country Skiing,Cross Country Skiing Men's Team Sprint,Gold
137724,Johannes Høsflot Klæbo,M,21,183,NA,Norway,NOR,2018,PyeongChang,Cross Country Skiing,Cross Country Skiing Men's Sprint,Gold
137724,Johannes Høsflot Klæbo,M,21,183,NA,Norway,NOR,2018,PyeongChang,Cross Country Skiing,Cross Country Skiing Men's 15 kilometres,Bronze
137724,Johannes Høsflot Klæbo,M,21,183,NA,Norway,NOR,2018,PyeongChang,Cross Country Skiing,Cross Country Skiing Men's 50 kilometres,NA
137724,Johannes Høsflot Klæbo,M,21,183,NA,Norway,NOR,2018,PyeongChang,Cross Country Skiing,Cross Country Skiing Men's 30 kilometres Skiathlon,NA
137724,Johannes Høsflot Klæbo,M,21,183,NA,Norway,NOR,2018,PyeongChang,Cross Country Skiing,Cross Country Skiing Men's 4 × 10 kilometres Relay,Silver
137724,Johannes Høsflot Klæbo,M,21,183,NA,Norway,NOR,2018,PyeongChang,Cross Country Skiing,Cross Country Skiing Men's Team Sprint,Gold
137926,Karolina Bosiek,F,17,165,55,Poland,POL,2018,PyeongChang,Speed Skating,"Speed Skating Women's 1,000 metres",NA
137926,Karolina Bosiek,F,17,165,55,Poland,POL,2018,PyeongChang,Speed Skating,"Speed Skating Women's 3,000 metres",NA
137926,Karolina Bosiek,F,17,165,55,Poland,POL,2018,PyeongChang,Speed Skating,Speed Skating Women's Team Pursuit (6 laps),NA
